monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
236.4,8.0,0.0,0.0,0.0,8
236.5,8.0,0.0,0.0,0.0,8
236.6,8.0,0.0,0.0,0.0,8
236.7,62.0,0.0,0.0,0.0,8
236.8,152.0,0.0,0.0,0.0,8
236.9,152.0,0.0,0.0,0.0,8
237.0,152.0,0.0,0.0,0.0,8
237.1,152.0,0.0,0.0,0.0,8
237.2,337.0,0.0,0.0,0.0,8
237.3,1002.0,0.0,0.0,0.0,8
237.4,1002.0,0.0,0.0,0.0,8
237.5,1002.0,0.0,0.0,0.0,8
237.6,1002.0,0.0,0.0,0.0,8
237.7,1002.0,0.0,0.0,0.0,8
237.8,1002.0,0.0,0.0,0.0,8
237.9,1002.0,0.0,0.0,0.0,8
238.0,1002.0,0.0,0.0,0.0,8
238.1,1002.0,0.0,0.0,0.0,8
238.2,1002.0,0.0,0.0,0.0,8
238.3,1002.0,0.0,0.0,0.0,8
238.4,1002.0,0.0,0.0,0.0,8
238.5,1002.0,0.0,0.0,0.0,8
238.6,1002.0,0.0,0.0,0.0,8
238.7,1002.0,0.0,0.0,0.0,8
238.8,1542.0,0.0,1409.4151958004409,503926.0,8
238.9,2048.0,0.0,2803.0113791320387,1008056.0,8
239.0,2048.0,0.0,2803.0113791320387,1008056.0,8
239.1,2048.0,0.0,2803.0113791320387,1008056.0,8
239.2,2048.0,0.0,2803.0113791320387,1008056.0,8
239.3,2048.0,0.0,2803.0113791320387,1008056.0,8
239.4,2048.0,0.0,2803.0113791320387,1008056.0,8
239.5,2048.0,0.0,2803.0113791320387,1008056.0,8
239.6,2048.0,0.0,2803.0113791320387,1008056.0,8
239.7,2048.0,0.0,2803.0113791320387,1008056.0,8
239.8,2048.0,0.0,2803.0113791320387,1008056.0,8
239.9,2048.0,0.0,2803.0113791320387,1008056.0,8
240.0,2048.0,0.0,2803.0113791320387,1008056.0,8
240.1,2048.0,0.0,2803.0113791320387,1008056.0,8
240.2,2048.0,0.0,2803.0113791320387,1008056.0,8
240.3,2048.0,0.0,2803.0113791320387,1008056.0,8
240.4,2048.0,0.0,8755.321609735322,1018296.0,8
240.5,2048.0,0.0,50255.00398258761,1089976.0,8
240.6,2048.0,0.0,50255.00398258761,1089976.0,8
240.7,2048.0,0.0,50255.00398258761,1089976.0,8
240.8,2048.0,0.0,50255.00398258761,1089976.0,8
240.9,2048.0,0.0,50255.00398258761,1089976.0,8
241.0,2048.0,0.0,50255.00398258761,1089976.0,8
241.1,2048.0,0.0,50255.00398258761,1089976.0,8
241.2,2048.0,0.0,50255.00398258761,1089976.0,8
241.3,2048.0,0.0,50255.00398258761,1089976.0,8
241.4,2048.0,0.0,50255.00398258761,1089976.0,8
241.5,2048.0,0.0,50255.00398258761,1089976.0,8
241.6,2048.0,0.0,50255.00398258761,1089976.0,8
241.7,2048.0,0.0,50255.00398258761,1089976.0,8
241.8,2048.0,0.0,50255.00398258761,1089976.0,8
241.9,2048.0,0.0,50255.00398258761,1089976.0,8
242.0,2048.0,0.0,50255.00398258761,1089976.0,8
242.1,2043.0,0.0,49374.30057878431,1138356.0,8
242.2,2040.0,0.0,48841.481287192175,1167384.0,8
242.3,2040.0,0.0,48841.481287192175,1167384.0,8
